time_by_lasttime,time_diff,node,class
0.91830,10.00000,110,0
0.91831,10.00000,115,0
0.91868,10.00000,116,0
0.91832,10.00000,116,0
0.91832,10.00000,112,0
0.91834,10.00000,113,0
0.91836,10.00000,113,0
0.91836,10.00000,112,0
0.91857,10.00000,115,0
0.91857,10.00000,114,0
0.91857,10.00000,116,0
0.91859,10.00000,112,0
0.91820,10.00000,110,0
0.91831,10.00000,114,0
0.91899,10.00000,109,0
0.91929,10.00000,105,0
0.91897,10.00000,105,0
0.91898,10.00000,104,0
0.91898,10.00000,107,0
0.91899,10.00000,108,0
0.91894,10.00000,102,0
0.91894,10.00000,111,0
0.91899,10.00000,101,0
0.91894,10.00000,100,0
0.91892,10.00000,112,0
0.91890,10.00000,112,0
0.91897,10.00000,100,0
0.91899,10.00000,112,0
0.91901,10.00000,111,0
0.91901,10.00000,105,0
0.91901,10.00000,107,0
0.91895,10.00000,112,0
0.91904,10.00000,111,0
0.91927,10.00000,109,0
0.91924,10.00000,10,0
0.91924,10.00000,110,0
0.91924,10.00000,111,0
0.91923,10.00000,108,0
0.91923,10.00000,102,0
0.91922,10.00000,104,0
0.91921,10.00000,105,0
0.91902,10.00000,104,0
0.91915,10.00000,0,0
0.91920,10.00000,101,0
0.91904,10.00000,110,0
0.91905,10.00000,105,0
0.91905,10.00000,0,0
0.91907,10.00000,109,0
0.91417,10.00000,112,0
0.91420,10.00000,116,0
0.91388,10.00000,110,0
0.91419,10.00000,115,0
0.91316,10.00000,10,0
0.91098,10.00000,113,0
0.91100,10.00000,115,0
0.91100,10.00000,114,0
0.91104,10.00000,114,0
0.91108,10.00000,116,0
0.91187,10.00000,115,0
0.91183,10.00000,115,0
0.91175,10.00000,0,0
0.91174,10.00000,100,0
0.91160,10.00000,111,0
0.91171,10.00000,109,0
0.91157,10.00000,105,0
0.91197,10.00000,114,0
0.91164,10.00000,108,0
0.91164,10.00000,100,0
0.91164,10.00000,111,0
0.91165,10.00000,109,0
0.91168,10.00000,110,0
0.91169,10.00000,101,0
0.91169,10.00000,102,0
0.91170,10.00000,106,0
0.91170,10.00000,111,0
0.91171,10.00000,108,0
